Keyword,TEDLIUM_SampleID,TEDLIUM_SET,MSWC_AudioID
because,0,train,because/common_voice_en_141736.opus
that,1,train,that/common_voice_en_567114.opus
first,2,train,first/common_voice_en_600915.opus
thousand,3,train,thousand/common_voice_en_268512.opus
six,4,train,six/common_voice_en_18315295.opus
time,5,train,time/common_voice_en_18975479.opus
was,6,train,was/common_voice_en_18826273.opus
and,7,train,and/common_voice_en_21522503.opus
saw,8,train,saw/common_voice_en_75348.opus
explosion,9,train,explosion/common_voice_en_505006.opus
vengeful,10,train,vengeful/common_voice_en_20316019.opus
six,11,train,six/common_voice_en_22203763.opus
terrorism,12,train,terrorism/common_voice_en_19468908.opus
death,13,train,death/common_voice_en_675378.opus
that,14,train,that/common_voice_en_644204.opus
when,15,train,when/common_voice_en_177695.opus
that,16,train,that/common_voice_en_143421.opus
didn't,17,train,didn’t/common_voice_en_19764605.opus
find,18,train,find/common_voice_en_18485635.opus
when,19,train,when/common_voice_en_15735392.opus
victim,20,train,victim/common_voice_en_19669325.opus
her,21,train,her/common_voice_en_19659929.opus
november,22,train,november/common_voice_en_19002819.opus
how,23,train,how/common_voice_en_632784.opus
organization,24,train,organization/common_voice_en_20087471.opus
watched,25,train,watched/common_voice_en_18254692.opus
and,26,train,and/common_voice_en_112534.opus
fourteen,27,train,fourteen/common_voice_en_18319888.opus
know,28,train,know/common_voice_en_18087595.opus
that's,29,train,that’s/common_voice_en_17798619.opus
for,30,train,for/common_voice_en_18068419.opus
talk,31,train,talk/common_voice_en_64740.opus
married,32,train,married/common_voice_en_535110.opus
one,33,train,one/common_voice_en_18052387.opus
married,34,train,married/common_voice_en_19773986.opus
that,35,train,that/common_voice_en_71178.opus
meeting,36,train,meeting/common_voice_en_20256210.opus
two,37,train,two/common_voice_en_121024.opus
time,38,train,time/common_voice_en_513277.opus
those,39,train,those/common_voice_en_20687457.opus
family,40,train,family/common_voice_en_20203211.opus
did,41,train,did/common_voice_en_18498175.opus
knew,42,train,knew/common_voice_en_199753.opus
sat,43,train,sat/common_voice_en_15479.opus
reconciliation,44,train,reconciliation/common_voice_en_21505317.opus
son,45,train,son/common_voice_en_18775785.opus
happened,46,train,happened/common_voice_en_588793.opus
what,47,train,what/common_voice_en_17252978.opus
crime,48,train,crime/common_voice_en_519943.opus
then,49,train,then/common_voice_en_78686.opus
after,50,train,after/common_voice_en_21101018.opus
we'd,51,train,we’d/common_voice_en_18296718.opus
had,52,train,had/common_voice_en_157273.opus
such,53,train,such/common_voice_en_18524707.opus
and,54,train,and/common_voice_en_20664241.opus
feel,55,train,feel/common_voice_en_691126.opus
special,56,train,special/common_voice_en_21753852.opus
making,57,train,making/common_voice_en_15904076.opus
this,58,train,this/common_voice_en_146432.opus
words,59,train,words/common_voice_en_18061905.opus
say,60,train,say/common_voice_en_22038.opus
peace,61,train,peace/common_voice_en_639365.opus
i'd,62,train,i’d/common_voice_en_18415907.opus
what,63,train,what/common_voice_en_18261098.opus
like,64,train,like/common_voice_en_660277.opus
myself,65,train,myself/common_voice_en_18510025.opus
and,66,train,and/common_voice_en_582710.opus
see,67,train,see/common_voice_en_67853.opus
esquire,68,train,esquire/common_voice_en_21817730.opus
team,69,train,team/common_voice_en_21851235.opus
they,70,train,they/common_voice_en_593717.opus
and,71,train,and/common_voice_en_19637354.opus
was,72,train,was/common_voice_en_206091.opus
more,73,train,more/common_voice_en_158254.opus
started,74,train,started/common_voice_en_588642.opus
only,75,train,only/common_voice_en_505400.opus
your,76,train,your/common_voice_en_105600.opus
the,77,train,the/common_voice_en_17284363.opus
the,78,train,the/common_voice_en_573811.opus
from,79,train,from/common_voice_en_654769.opus
all,80,train,all/common_voice_en_21766190.opus
want,81,train,want/common_voice_en_72016.opus
one,82,train,one/common_voice_en_17868968.opus
remember,83,train,remember/common_voice_en_17910239__2.opus
google,84,train,google/common_voice_en_19618153.opus
most,85,train,most/common_voice_en_22067721.opus
done,86,train,done/common_voice_en_17451139.opus
year,87,train,year/common_voice_en_589474.opus
and,88,train,and/common_voice_en_493716.opus
undertook,89,train,undertook/common_voice_en_22322083.opus
i'm,90,train,i’m/common_voice_en_20952320.opus
very,91,train,very/common_voice_en_18821641.opus
interested,92,train,interested/common_voice_en_18519923.opus
want,93,train,want/common_voice_en_46573.opus
religious,94,train,religious/common_voice_en_20736466.opus
which,95,train,which/common_voice_en_20474108.opus
its,97,train,its/common_voice_en_22265035.opus
literally,98,train,literally/common_voice_en_18156014.opus
bibles,99,train,bibles/common_voice_en_20670385.opus
friend,100,train,friend/common_voice_en_69672.opus
opposed,101,train,opposed/common_voice_en_19067276.opus
down,102,train,down/common_voice_en_30925.opus
every,103,train,every/common_voice_en_109812.opus
long,104,train,long/common_voice_en_19521526.opus
rules,105,train,rules/common_voice_en_20298317.opus
from,106,train,from/common_voice_en_19387582.opus
and,107,train,and/common_voice_en_20877930.opus
take,108,train,take/common_voice_en_17251176.opus
hundreds,109,train,hundreds/common_voice_en_19960949.opus
corners,110,train,corners/common_voice_en_19631528.opus
lot,111,train,lot/common_voice_en_55651.opus
wife,112,train,wife/common_voice_en_19515616.opus
the,113,train,the/common_voice_en_33230.opus
i'll,114,train,i’ll/common_voice_en_19639454.opus
rid,115,train,rid/common_voice_en_627287.opus
wife,116,train,wife/common_voice_en_20562568.opus
that,117,train,that/common_voice_en_633224.opus
standing,118,train,standing/common_voice_en_162707.opus
she,119,train,she/common_voice_en_212362.opus
another,120,train,another/common_voice_en_18401001.opus
laws,121,train,laws/common_voice_en_22194574.opus
commit,122,train,commit/common_voice_en_20075595.opus
seventy,123,train,seventy/common_voice_en_21281233.opus
able,124,train,able/common_voice_en_196883.opus
progress,125,train,progress/common_voice_en_689695.opus
behavior,126,train,behavior/common_voice_en_21868844.opus
you,127,train,you/common_voice_en_18642709.opus
often,128,train,often/common_voice_en_20434040.opus
change,129,train,change/common_voice_en_20529437.opus
people,130,train,people/common_voice_en_611703.opus
that,131,train,that/common_voice_en_18128541.opus
was,132,train,was/common_voice_en_20464869__2.opus
the,133,train,the/common_voice_en_204583.opus
happier,134,train,happier/common_voice_en_555836.opus
was,135,train,was/common_voice_en_637594.opus
the,136,train,the/common_voice_en_195391.opus
part,137,train,part/common_voice_en_18944216.opus
figured,138,train,figured/common_voice_en_509614.opus
inner,139,train,inner/common_voice_en_18697537.opus
you,140,train,you/common_voice_en_190316.opus
are,141,train,are/common_voice_en_18870399.opus
actually,142,train,actually/common_voice_en_18745677.opus
carrying,143,train,carrying/common_voice_en_547588.opus
face,144,train,face/common_voice_en_20353912.opus
for,145,train,for/common_voice_en_19607901.opus
and,146,train,and/common_voice_en_20009696.opus
big,147,train,big/common_voice_en_649770.opus
sort,148,train,sort/common_voice_en_22348317.opus
bible,149,train,bible/common_voice_en_18975485.opus
actually,150,train,actually/common_voice_en_523142.opus
hundreds,151,train,hundreds/common_voice_en_18343868.opus
end,152,train,end/common_voice_en_134799.opus
first,153,train,first/common_voice_en_22131625.opus
because,154,train,because/common_voice_en_589516.opus
some,155,train,some/common_voice_en_19513117.opus
this,156,train,this/common_voice_en_19411571.opus
times,157,train,times/common_voice_en_648227.opus
she,158,train,she/common_voice_en_203148.opus
much,159,train,much/common_voice_en_108434.opus
bought,160,train,bought/common_voice_en_21092200.opus
and,161,train,and/common_voice_en_19231926.opus
around,162,train,around/common_voice_en_18697998.opus
these,163,train,these/common_voice_en_19296613.opus
and,164,train,and/common_voice_en_483900.opus
these,165,train,these/common_voice_en_20113707.opus
say,166,train,say/common_voice_en_17919839__2.opus
flood,167,train,flood/common_voice_en_20757897.opus
job,168,train,job/common_voice_en_698817.opus
this,169,train,this/common_voice_en_22248495.opus
was,170,train,was/common_voice_en_15735225.opus
things,171,train,things/common_voice_en_61172.opus
even,172,train,even/common_voice_en_631041.opus
three,173,train,three/common_voice_en_20443158.opus
when,174,train,when/common_voice_en_27666.opus
remarkable,175,train,remarkable/common_voice_en_20857598.opus
because,176,train,because/common_voice_en_90150.opus
love,177,train,love/common_voice_en_92633.opus
rituals,178,train,rituals/common_voice_en_20245131.opus
the,179,train,the/common_voice_en_181741.opus
day,180,train,day/common_voice_en_214379.opus
whether,181,train,whether/common_voice_en_662199.opus
stereotype,182,train,stereotype/common_voice_en_21965013.opus
than,183,train,than/common_voice_en_618050.opus
religion,184,train,religion/common_voice_en_21795858.opus
out,185,train,out/common_voice_en_17717694__2.opus
gotta,186,train,gotta/common_voice_en_198468.opus
because,187,train,because/common_voice_en_522060.opus
and,188,train,and/common_voice_en_209413.opus
them,189,train,them/common_voice_en_666345.opus
pamphlet,190,train,pamphlet/common_voice_en_21819480.opus
you,191,train,you/common_voice_en_675559.opus
they,192,train,they/common_voice_en_20798153.opus
the,193,train,the/common_voice_en_21393061.opus
this,194,train,this/common_voice_en_20865481.opus
jim,195,train,jim/common_voice_en_606666.opus
they,196,train,they/common_voice_en_20971170.opus
because,197,train,because/common_voice_en_556722.opus
scientific,198,train,scientific/common_voice_en_19621926.opus
life,199,train,life/common_voice_en_21799741.opus
learned,200,train,learned/common_voice_en_18608835.opus
wool,201,train,wool/common_voice_en_210625.opus
the,202,train,the/common_voice_en_20372122.opus
but,203,train,but/common_voice_en_17247393.opus
what,204,train,what/common_voice_en_17417115.opus
out,205,train,out/common_voice_en_646034.opus
and,206,train,and/common_voice_en_19975130.opus
one,207,train,one/common_voice_en_18412406.opus
blowing,208,train,blowing/common_voice_en_62790.opus
versus,209,train,versus/common_voice_en_18401385.opus
guy,210,train,guy/common_voice_en_17277056.opus
that,211,train,that/common_voice_en_115278.opus
that,212,train,that/common_voice_en_17880240.opus
are,213,train,are/common_voice_en_22173787.opus
one,214,train,one/common_voice_en_21926802.opus
and,215,train,and/common_voice_en_56983.opus
choosing,216,train,choosing/common_voice_en_17261881.opus
the,217,train,the/common_voice_en_582628__2.opus
will,218,train,will/common_voice_en_18618462.opus
say,219,train,say/common_voice_en_143299.opus
i've,220,train,i’ve/common_voice_en_18513681.opus
compassion,221,train,compassion/common_voice_en_20132697.opus
about,222,train,about/common_voice_en_491540.opus
violence,223,train,violence/common_voice_en_17673773.opus
have,224,train,have/common_voice_en_22276238.opus
for,225,train,for/common_voice_en_20911752.opus
parts,226,train,parts/common_voice_en_20261020.opus
precisely,227,train,precisely/common_voice_en_19611526.opus
amazing,228,train,amazing/common_voice_en_17296446.opus
its,229,train,its/common_voice_en_18454737.opus
spirit,230,train,spirit/common_voice_en_19512299.opus
i'm,231,train,i’m/common_voice_en_18542543.opus
about,232,train,about/common_voice_en_87292.opus
immerse,233,train,immerse/common_voice_en_687573.opus
beard,234,train,beard/common_voice_en_9861.opus
that,235,train,that/common_voice_en_86157.opus
was,236,train,was/common_voice_en_18982598.opus
the,237,train,the/common_voice_en_19748953__2.opus
what,238,train,what/common_voice_en_21049492.opus
thank,239,train,thank/common_voice_en_18404133__2.opus
it's,240,train,it’s/common_voice_en_19776783.opus
and,241,train,and/common_voice_en_19573354.opus
the,242,train,the/common_voice_en_338241__2.opus
wrote,243,train,wrote/common_voice_en_583688.opus
glass,244,train,glass/common_voice_en_19028598.opus
the,245,train,the/common_voice_en_20695751.opus
properly,246,train,properly/common_voice_en_593066.opus
because,247,train,because/common_voice_en_21236474.opus
part,248,train,part/common_voice_en_21469152.opus
danish,249,train,danish/common_voice_en_20669070.opus
just,250,train,just/common_voice_en_214710.opus
and,251,train,and/common_voice_en_19694590.opus
can,252,train,can/common_voice_en_19206543.opus
that,253,train,that/common_voice_en_17755453.opus
wrote,254,train,wrote/common_voice_en_22204329.opus
die,255,train,die/common_voice_en_582339.opus
telling,256,train,telling/common_voice_en_556848.opus
and,257,train,and/common_voice_en_20043760.opus
social,258,train,social/common_voice_en_18779308.opus
over,259,train,over/common_voice_en_102196.opus
part,260,train,part/common_voice_en_20374588.opus
kids,261,train,kids/common_voice_en_189590.opus
and,262,train,and/common_voice_en_19781678.opus
wear,263,train,wear/common_voice_en_17265693.opus
healthy,264,train,healthy/common_voice_en_21452957.opus
course,265,train,course/common_voice_en_19719274.opus
but,266,train,but/common_voice_en_18632051.opus
noisy,267,train,noisy/common_voice_en_19953932.opus
there's,268,train,there’s/common_voice_en_21894918.opus
which,269,train,which/common_voice_en_19909136.opus
your,270,train,your/common_voice_en_25102.opus
damage,271,train,damage/common_voice_en_20835407.opus
that,272,train,that/common_voice_en_17489065.opus
done,273,train,done/common_voice_en_104652.opus
every,274,train,every/common_voice_en_495690.opus
because,275,train,because/common_voice_en_672336.opus
this,276,train,this/common_voice_en_18855977.opus
hall,277,train,hall/common_voice_en_18760784.opus
our,278,train,our/common_voice_en_18165729.opus
was,279,train,was/common_voice_en_21137864.opus
surprising,280,train,surprising/common_voice_en_22023023.opus
that,281,train,that/common_voice_en_18150189.opus
theme,282,train,theme/common_voice_en_19514246.opus
important,283,train,important/common_voice_en_21244489.opus
just,284,train,just/common_voice_en_20712995.opus
the,285,train,the/common_voice_en_17413712__2.opus
great,286,train,great/common_voice_en_21530139.opus
one,287,train,one/common_voice_en_20489510.opus
love,288,train,love/common_voice_en_19323723.opus
sunflower,289,train,sunflower/common_voice_en_20947159__2.opus
almost,290,train,almost/common_voice_en_20261795.opus
tour,291,train,tour/common_voice_en_19536609.opus
ago,292,train,ago/common_voice_en_61462.opus
the,293,train,the/common_voice_en_21595824.opus
including,294,train,including/common_voice_en_21572612.opus
and,295,train,and/common_voice_en_497531.opus
ten,296,train,ten/common_voice_en_74671.opus
that,297,train,that/common_voice_en_542003.opus
know,298,train,know/common_voice_en_17910358.opus
remarkable,299,train,remarkable/common_voice_en_19789566.opus
and,300,train,and/common_voice_en_20068061.opus
they're,301,train,they’re/common_voice_en_18643781.opus
this,302,train,this/common_voice_en_132855.opus
always,303,train,always/common_voice_en_18519261.opus
it's,304,train,it’s/common_voice_en_208882.opus
take,305,train,take/common_voice_en_630257.opus
the,306,train,the/common_voice_en_19912709__2.opus
jacobs,307,train,jacobs/common_voice_en_20313832.opus
then,308,train,then/common_voice_en_487624.opus
even,309,train,even/common_voice_en_673008.opus
than,310,train,than/common_voice_en_18130722.opus
whether,311,train,whether/common_voice_en_210935.opus
she,312,train,she/common_voice_en_17718563.opus
links,313,train,links/common_voice_en_20306170.opus
obama,314,train,obama/common_voice_en_17885313.opus
fifth,315,train,fifth/common_voice_en_21936185.opus
practically,316,train,practically/common_voice_en_20288434.opus
actor,317,train,actor/common_voice_en_19578186.opus
first,318,train,first/common_voice_en_19707357.opus
degrees,319,train,degrees/common_voice_en_20325763.opus
connected,320,train,connected/common_voice_en_20964283.opus
almost,321,train,almost/common_voice_en_4261974.opus
really,322,train,really/common_voice_en_611832.opus
this,323,train,this/common_voice_en_22007322.opus
and,324,train,and/common_voice_en_21975844.opus
diseases,325,train,diseases/common_voice_en_20926966.opus
world,326,train,world/common_voice_en_20932641.opus
old,327,train,old/common_voice_en_160063.opus
was,328,train,was/common_voice_en_22420505.opus
white,329,train,white/common_voice_en_21305042.opus
wanted,330,train,wanted/common_voice_en_567028.opus
it's,331,train,it’s/common_voice_en_500250.opus
will,332,train,will/common_voice_en_483861.opus
want,333,train,want/common_voice_en_114847.opus
number,334,train,number/common_voice_en_18697108.opus
don't,335,train,don’t/common_voice_en_25949.opus
about,336,train,about/common_voice_en_18493151.opus
adam,337,train,adam/common_voice_en_40846.opus
bit,338,train,bit/common_voice_en_18165358.opus
about,339,train,about/common_voice_en_576188.opus
cousin,340,train,cousin/common_voice_en_20173502.opus
share,341,train,share/common_voice_en_18627809.opus
you,342,train,you/common_voice_en_17406802.opus
four,343,train,four/common_voice_en_17685941.opus
know,344,train,know/common_voice_en_579135.opus
have,345,train,have/common_voice_en_20946966.opus
because,346,train,because/common_voice_en_187420.opus
whatever,347,train,whatever/common_voice_en_524332.opus
look,348,train,look/common_voice_en_600928.opus
done,349,train,done/common_voice_en_593217.opus
part,350,train,part/common_voice_en_661826__2.opus
share,351,train,share/common_voice_en_19043733.opus
the,352,train,the/common_voice_en_19950087.opus
has,353,train,has/common_voice_en_21202574.opus
country,354,train,country/common_voice_en_20462512.opus
that's,355,train,that’s/common_voice_en_17245712.opus
marriage,356,train,marriage/common_voice_en_19500502.opus
really,357,train,really/common_voice_en_645256.opus
