TED_waveform,TED_transcript
0_911Mothers_2010W,<unk> because of
1_911Mothers_2010W,the fact that we have what most people consider an unusual friendship <unk> and it is and yet it feels natural to us
2_911Mothers_2010W,<unk> first learned that my son had been in the world trade center
3_911Mothers_2010W,on the morning of september 11th two thousand and one we didn 't know if he had perished yet
4_911Mothers_2010W,until thirty six hours later <unk>
5_911Mothers_2010W,at the time
6_911Mothers_2010W,we knew that it was political we were afraid of what our country was going to do in the name of
7_911Mothers_2010W,<unk> my husband orlando and i
8_911Mothers_2010W,and our family and when i saw it and yet through the shock <unk> the terrible shock <unk> and the terrible
9_911Mothers_2010W,explosion in our lives <unk> literally
10_911Mothers_2010W,<unk> we were not vengeful <unk> and a couple of weeks later when zacarias moussaoui was indicted
11_911Mothers_2010W,on six counts of
12_911Mothers_2010W,<unk> conspiracy to commit terrorism <unk>
13_911Mothers_2010W,and the u s government called for a death penalty for him if convicted my husband and i spoke out
14_911Mothers_2010W,in opposition to that publicly <unk> through that and through human rights groups we were brought together
15_911Mothers_2010W,<unk> when i saw aicha in the media <unk> coming over
16_911Mothers_2010W,when her son was indicted <unk> and i thought what a brave woman someday i want to meet that woman when i 'm stronger
17_911Mothers_2010W,i was still in deep grief <unk> i knew i didn 't have the strength <unk>
18_911Mothers_2010W,i knew i would find her someday or we would find each other <unk>
19_911Mothers_2010W,because when people heard that my son
20_911Mothers_2010W,was a victim i got immediate sympathy
21_911Mothers_2010W,<unk> but when people learned what her son was accused of she didn 't get that sympathy <unk> but her suffering is equal to mine
22_911Mothers_2010W,so we met in november two thousand and two <unk> and aicha will now tell you
23_911Mothers_2010W,how that came about
24_911Mothers_2010W,<unk> organization of human rights to put me in touch
25_911Mothers_2010W,<unk> and i saw phyllis and i watched her she was the only mother in the group
26_911Mothers_2010W,<unk> and i saw in her eyes that she was a mother just like me <unk> i suffered a lot as a mother
27_911Mothers_2010W,i was married when i was fourteen <unk> i lost a child when i was fifteen
28_911Mothers_2010W,<unk> know where he is i don 't know if he 's alive i don 't know if he 's tortured i don 't know what happened to him
29_911Mothers_2010W,<unk> so that 's why i decided to tell my story so that my suffering is something positive for other women
30_911Mothers_2010W,<unk> it 's not against women it 's for us for us women for our children
31_911Mothers_2010W,<unk> i talk against violence against terrorism i go to schools to talk to young muslim
32_911Mothers_2010W,girls so they don 't accept to be married against their will very young
33_911Mothers_2010W,<unk> if i can save one of the young girls and
34_911Mothers_2010W,avoid that they get married and suffer as much as i did well this is something good <unk>
35_911Mothers_2010W,this is why i 'm here in front of you pr i would like to say that i have learned so much
36_911Mothers_2010W,from aicha starting with that day we had our very first meeting with other family members which was a very
37_911Mothers_2010W,<unk> private meeting with security <unk> because it was november two thousand and two <unk> and frankly we were afraid of the
38_911Mothers_2010W,<unk> that time in the country
39_911Mothers_2010W,those of us
40_911Mothers_2010W,family members
41_911Mothers_2010W,<unk> but we were all so nervous why does she want to meet us and then she was nervous why did we want to meet her
42_911Mothers_2010W,<unk> what did we want from each other <unk> before we knew each others ' names or anything we had embraced
43_911Mothers_2010W,and wept then we sat in a circle
44_911Mothers_2010W,with support with help from people experienced in this kind of reconciliation <unk> and aicha started <unk> and
45_911Mothers_2010W,<unk> i don 't know if my son is guilty or innocent but i want to tell you
46_911Mothers_2010W,how sorry i am for what happened to your families
47_911Mothers_2010W,<unk> i know what it is to suffer
48_911Mothers_2010W,and i feel that if there is a crime a person should be tried fairly and punished
49_911Mothers_2010W,<unk> and what happened then is we all told our stories <unk> and we all connected as human beings by the end of the afternoon it was about three hours
50_911Mothers_2010W,after lunch
51_911Mothers_2010W,we 'd felt as if we 'd known each other forever now what i learned from her is a woman not only who could be so generous under
52_911Mothers_2010W,<unk> these present circumstances and what it was then and what was being done to her son <unk> but the life she 's had i never had met someone
53_911Mothers_2010W,with such a hard life from such a totally different
54_911Mothers_2010W,culture and environment from my own <unk> and
55_911Mothers_2010W,i feel that we have
56_911Mothers_2010W,a special connection which i value very much and
57_911Mothers_2010W,<unk> think it 's all about being afraid of the other but making that step
58_911Mothers_2010W,and then realizing hey this wasn 't so hard <unk> who else can i meet that i don 't know or that i 'm so different from
59_911Mothers_2010W,so aicha <unk> do you have a couple of words
60_911Mothers_2010W,<unk> i wanted to say that we have to try to know other people the other
61_911Mothers_2010W,<unk> and i hope that someday we 'll all live together in peace and respecting each other this is what i wanted to say
62_AJJacobs_2007P,<unk> i thought i 'd tell you a little about
63_AJJacobs_2007P,what i like to write <unk> and
64_AJJacobs_2007P,i like to
65_AJJacobs_2007P,immerse myself in my topics i just like to dive right in and become sort of a human guinea pig <unk>
66_AJJacobs_2007P,and
67_AJJacobs_2007P,i see my life as a series of experiments
68_AJJacobs_2007P,so i work for esquire magazine and a couple of years ago i wrote an article called my outsourced life
69_AJJacobs_2007P,where i hired a team of people in bangalore india to live my life for me <unk> so <unk>
70_AJJacobs_2007P,they answered my emails they answered my phone they argued with my wife for me
71_AJJacobs_2007P,and
72_AJJacobs_2007P,<unk> read my son bedtime stories it was the best month of my life <unk> because i just sat back and i
73_AJJacobs_2007P,i read books and watched movies it was a wonderful experience more recently i wrote an article for esquire called
74_AJJacobs_2007P,about radical honesty <unk> and this is a movement where this is started by a psychologist in virginia who says that
75_AJJacobs_2007P,<unk> you should never ever lie <unk> except maybe during poker and golf his only exceptions
76_AJJacobs_2007P,and more than that whatever is on your brain should come out of your mouth
77_AJJacobs_2007P,<unk> so i decided i would try this for a month this was the worst month of my life
78_AJJacobs_2007P,i do not recommend this at all to give you a sense of the of the experience <unk> the article was called i
79_AJJacobs_2007P,<unk> and it was about the year i spent reading the encyclopedia britannica from a to z in my quest to learn everything in the world
80_AJJacobs_2007P,or more precisely from aak which is a type of east asian music all the way to
81_AJJacobs_2007P,<unk> i don 't want to ruin the ending it 's a very
82_AJJacobs_2007P,exciting twist ending like an o henry novel <unk> so i won 't ruin it but i love that one because that was an experiment about how much information one human brain could absorb
83_AJJacobs_2007P,<unk> although listening to kevin kelly you don 't have to remember anything you can just
